Text,Sentiment
Love this game I love this game it is so fun and great to play when you are bored or need something to do i recommend it,1
Autism tool I bought this app as recommended by my autistic 2 yr olds speech therapist,1
"  Its fantastic Had issues at first, but after uninstalling and redoing, fixed the issue",1
,1
WOW What makes this game so good is on the harder levels strategy will only get you so far,1
 Luck is a major factor,1
 Ive been playing for almost a year now and have yet to beat the hardest level,1
,1
"A dream game that I wanted on phone Fixed all nice great job is must to purchase, must purchase icewind dale as well 100 support beamdog dnd fan please make temple of elemental evil as well",1
Lovely  site,1
Great app Works well when you have uber issued iphone,1
 Referral gt SZUMH lt New drivers recieve 300 new riders recive 25 credit,1
 Thanks Uber,1
,1
Perfection,1
Really nicely executed Great puzzle and fab interface,1
Great game,1
Love it It's literally the only app that I've found for my rooted Boost Mobile LG Tribute phone that gets passed the tether block Totally worth the few bucks,1
 Keep up the good work Fobio,1
The best so far I've tried most of the other android comic viewers and although this one is basic in many ways that is also its best feature,1
  The infinite scroll through pages makes this very easy to control,1
,1
Awesome A wide variety of games to choose from,1
 I found traditional favorites and new to me,1
 The rules came in handy to learn new or refamiliarize,1
 Inexpensive hours of fun,1
,1
Great Use it daily for a dash camera on my G35,1
 Works great Especially if one were to be in an accident Love that it works with my OBDII sensor Totally worth the 5,1
Love this game Best zombie game I've played in a very long time,1
  Its two great types of games put into one,1
  Driving and shooting doesn't get better than that,1
Great App I love everything about this app and haven't experienced any problems,1
,1
Well since it helps with if not all singup stuff I'm rating this 5 stars,1
,1
,1
,1
 It only need a worldcup  MUMH No idea,1
Turk alot is so fun always wanted to meet Nikki,1
Fun Love it I'm addicted,1
 So easy to play in a short period of time,1
,1
"Nice companion on my run It would be cool if the distance and time showed up on the phone's lock screen all I see is that it is running, but no data, but other than that, its been great to have as I'm getting back into shape",1
 Thanks,1
,1
Addictive Love this game,1
   I am hopelessly addicted,1
,1
Works perfect again Thanks,1
Great,1
 Cant see no more than 4 mangas in vol,1
 29 an only 5 in vol,1
 30,1
 I like the little icon at the end of each vol,1
 Touch it and it will move,1
"PIN BALL IS GREAT, I LOVE IT",1
,1
,1
,1
,1
,1
,1
,1
"Awesome When I can't play my favorite cooperative card game, this awesome port is always nearby",1
Great,1
"Awesome Why can't the stock camera be this awesome, after playing with this for 10 mins delete other camera apps and replaced stock icon with this one",1
 Update even after 3 years I still freaking love this app,1
,1
My grandchild Nice but not free,1
Knowledge gainer app,1
THA BEST BEST BEST BEST GAME EVER I love it halris I know I spelled it wrong the only thing is the errow part it won't let me do it BUT ITS STILL A GOOD GAME,1
Great antivirus app My phone gets overheat due to autostart app,1
 And it consumes power very quickly,1
 Now this app trace and kill,1
 Great app so far,1
,1
Fly game This is so fly ill get it a rate of 5 it so good,1
Great app,1
 Loved every second of this game,1
 Great for 3,1
A lifesaver if you ever need to reset your phone,1
" However,  does not automatically backup bookmarks, so you have to periodically back them up and  if desired  upload to cloud",1
,1
Fixed on Lollipop the exit app function still doesn't work from the notification pull down panel on my Note 3  with Lollipop,1
,1
Awesome Great application really enjoy,1
Love the app Always comes in handy,1
 Never any problems,1
,1
Best app ever I luv this app so much,1
Rummy Very nice apps,1
Challenging,1
,1
,1
 Sometimes frustrating in a good way addictive,1
1010 worth it,1
 I bought this game out of a whim,1
 I really enjoy its hilarious and a great game with lots of replay ability,1
,1
Awesome It works,1
It's cool Nice,1
 It is stupid but it's entertaining and fun,1
Nice and simple Easy to play l good graphics its a petty that its difficult to evolve without paying for coins,1
,1
,1
,1
Its a cool game Its funny when tom faints lol and the dog gets a pail of watter,1
"Tracks and Drivers Need Knoxville, IA for sure",1
 Chad Simpson and Scott Bloomquist is needed,1
 Need for cautions and possibly victory lane,1
 Also the ability to do heats and mains,1
,1
really like it but it keeps dying on my phone so I have to keep uninstalling and redownloading,1
 I guess that helps the download number if people hard to download it again and again,1
"Great Very fun, no annoying adds or prompts to buy stuff so is great",1
This is ok,1
This App is awesome I had a small problem and emailed about it and got a response within 30 minutes,1
 This works great and is cheaper than buying a range finder,1
,1
Samsung Galaxy 5 Keeps the little grey cells working,1
,1
"Love it Good game, classic style, good battery life, HOWEVER JUST ONE THING PLEASE ENABLE LANDSCAPE MODE",1
Joy to play and learn a few songs,1
"Wow With the moga pro this plays as close to a console game as I've  For those having trouble getting the moga pro to hook up, press the power A button once the game is loading and again at the start screen",1
Wits at their best I can never match,1
City helicopter I love this 3d game andi like this game,1
"Great game,  very addictive",1
,1
Great game I just wish that I could not finish it within a couple hours,1
,1
,1
I also do not like that you have to pay for additional levels,1
,1
besides that,1
,1
it's a nice game,1
Fantastic but i don't  like to buy and i remove it,1
I love that game,1
"The Best Running or Walking App I love this app, it is accurate, idk, just keeps me motivated and on track",1
" I also love the live cheering section, make me wanna push harder",1
,1
"Great Easy to understand for children, thanks",1
"Clever, addicting A nice way to pass the time",1
Great game Type bones8008 in as your friend request after the tutorial,1
 You and I will both receive some free stuff,1
,1
Awesome Love it and say the word c,1
f that means create ,1
artist and  fashionable,1
,1
Cool This game is cool but I  because it is better than any other football game I had but I recommend downloading it,1
About robot If we are dissconnected then robot sell lands on double price without thinking wether it is necessary or not,1
"Addicting Can't put it down, want to see how far I can get haha",1
Kids ABC phonics lite I love this app it helps my daughter a lot I just love it,1
It really good,1
Great Game Love it Played it once can't stop playing it now,1
 So addicting,1
Awesome This Game is too gud,1
It is what it is,1
 Its a game thats been on phones for years,1
 Ive always found it to be fun,1
The coolest,1
 Love this game,1
 Very addictive,1
 Constantly adding new challenges,1
,1
Best app in the world But you really should make more play home apps like my play home work and my play home doctor also you should add more clothes for the babies,1
Great free fun This game is great,1
" It is fun, easy to use, does not crash",1
 The only drawback is that my 4 year old son runs off with phone all the time Galaxy S2,1
Great improvements Love it now I asked for a voice over and you got it in I have a YouTube account called Its Haley and this is the editor I use for it Love everything about it now,1
"great games best seen, fun, challenging",1
  wish were more mahjong games like these,1
  GB best to play,1
,1
Love this game Great graphics  in this game it  is worth it,1
I'm amazed that people seem to be having issues with crashes and freezes,1
  I've had no problems and I absolutely love this game,1
 I have developed some great rivalries against very challenging opponents,1
 Really a lot of fun and addicting,1
The most extreme android RPG to date,1
 I think,1
" Must play it now, if you like sky rim and oblivion",1
Like It It's awesome,1
 It teaches you how to drive,1
 I can't  really say much about it,1
,1
Awesome Thrill is gone,1
,1
"Awesome App Song suggestions Metallica Fade to Black,  Metallica Welcome Home Sanitarium,  Metallica Nothing else Matters, Metallica One, Metallica The Call of Ktulu, Metallica  The Unforgiven",1
Please Do a Chris Brown One,1
Piano I love it so much  I learned how to play twinkle twinkle little star,1
Great simple game Love this game it is very simple something quick I can do to take time outta of my stressful day,1
  Gypsy is a tank with tiger claws,1
,1
"Y88x To root this device, used kingo ROOT one click from PC",1
,1
Bloom boom Great game awesome I hope they 'll inhance it,1
Clock  weather Hope to see good,1
Great App Really great app,1
 If you don't have it you need to get it,1
Loved it Superb,1
game I have ever played,1
,1
lots of things in just 14mbs,1
,1
,1
boss ye to superb hai,1
Best TT app Definitely best in market,1
" Graphics, Quality, Animation, Speed, Gameplay, Difficulty, etc",1
 Are all very good and that makes the game very addictive,1
 I love this game a lot,1
,1
Duh Of course its easy it says five and UNDER,1
Cool This game don't have much ads at all it is like your driving a real car love this game so much can't stop playing adictive to me,1
"Great game Love this game, reminds me of old school games",1
" Love the necromancer the best, fun fun",1
 Keep up the great work guys,1
This game looks  good  I'll try it,1
Awesome app I really like the options for different colors,1
 I also like the overall easy setup,1
Yay works great on the new phone,1
"PERFECT I love all about this game from the graphic,gameplay,character and more  please keep update the game",1
Loving this awhsome app Very easy to use app extremely fast loading and just a fantastic application,1
,1
,1
,1
,1
Amazing One Of The Best Puzzle Games That I Played This Is Challenges My Head And Makes Me Smarter,1
"Classy, sleek, and intriguing",1
,1
,1
 Original game mechanics true to its roots and a minimalist visual style make this game worth every penny,1
,1
Love this widget,1
  Is it possible to make a weather app without the clock or have some way to hide the clock,1
,1
Why it tries to get root access Since some moment this app tries to get superuser access for something,1
 But why,1
,1
Can't get past level 88 Great game I rate it 5 out of 5,1
Great One of the best games I have ever played,1
Pandas Loved it,1
I love this app Mark Crilley does such a good job at drawing and teaches the basic steps of human anatomy,1
 If you are interested in manga then don't hesitate to download this app,1
,1
Haunted house reminds me of the game I play at El Dorado,1
 Its fun especially if you get 1st3rd place ha,1
,1
Compulsive Enertainment I don't always agree with the choices or invalid word choices but not enough to impact my play,1
,1
Very good apps,1
Really good But,1
,1
,1
,1
,1
 u should make it where we can carry stuff and make it float That would be great Thanks,1
Best solitaire game ever  This game rules dudes download it now before they start charging for it,1
This is metal,1
,1
I love it but I could give 5 stars if the limit f Spidey Meter s at least 10,1
,1
,1
,1
 Getting addict 2 t BT feeling worse while I need 2 wait 4 refilling Spidey,1
,1
,1
,1
 Please change this,1
Very helpful,1
"Great No lag, or other issues people are complaining about on my Note ll",1
" Crisp, vibrant graphics and smooth game play make this cart racer the one to have",1
You don't have to wait for the coins,1
 Just hit the spin button    It's a fun game,1
,1
Grand daughter daughter loves it,1
Wonderfully done Great game and no in app costs or ads kids love it I teach pre k and have 8 grandkids in this age range ,1
 Thanks for this fun filled game and great memories we are making,1
Awesom It the best game ever made,1
Great app Lots of info,1
 Can't wait for the app to evolve it only gets better from here,1
,1
Love this,1
,1
,1
 Now i connect my mobile without data cablessss,1
"Best converter but needs widget Absolutely brilliant, simple design",1
 But could really do with a widget for quick conversions,1
"Love Love LoVe LOVE user friendly, never crashes",1
,1
Looks can be deceiving It looked like it sucked but its pretty good I recommend it,1
 its a call of duty version of clash of clans,1
,1
It is the best,1
PLZ MAKE ANOTHER SIMULATOR Can u plz make a deer simulator Plz It can live in the forest and u can have a heard of 7 or something,1
 Plz make it u make the greatest simulations ever D,1
crazy creativity where is more clever gaming you can not answer,1
,1
,1
This is a great game For everyone who WANTS maps that's new and released for Call of Duty BLACK OPS 2 ZOMBIES u need to BUY them urself on XBOX 360 XBOX ONE ect,1
 Because this is Call of duty BLACK OPS 1 This is not BLACK OPS 2,1
Nice Got my PRO back from 9GAG First,1
Imma try it out This is so awsom,1
Very fun game its really good five stars and five hearts as well,1
Need full version for android jellybean Great app but can't get the full version on my android bauhn 4,1
3,1
Gives a lot of nice features And it has lots to explore with the many mini games and therefor it gives the kids lots to do at the airport plus it covers everything from arriving to departure,1
"Huge catalogue, high quality, frequent sales, a number of free issues, dedicated and competent customer service, easy to browse even for absolute newbies",1
 This app is just perfect,1
"Awesome Took my a little researching to find out how to partition my SD card, but once I got it done and tried the free version it worked wonders",1
 I purchased this to support the creator,1
,1
,1
Bike racing The game is okay but directing the driver is a prblm wtht the arrws,1
Works great Had an issue backing up my apps cause no room on internal sd card,1
 Please provide an option to save to external sd card which has heaps of space on my phone,1
,1
 Pretty hilarious,1
 The adds a quite annoying but they have to make money somehow,1
,1
 Easy to use,1
" Descriptions are easy to understand,  and occasionally I will actually win  So far this is the best I've found",1
,1
"OMG It's so great and scary It scared the heck out of me I like it but it's too scary Especially the camera that has ghosts in them Thanks for making this prank, scary app",1
Codeword Great game once you figure it out,1
  I Love It,1
"Adictive Can't put it away since I installed it, would love some more categories and less politics",1
I'm having so much fun with this app And it being priced 34p is not over priced,1
Overall the best monitor camera app It is one of the best app for my foscam camera with many features,1
 Developer consistently update the app which is good in my book,1
 Wish there is an iOS version,1
,1
,1
AWESOME What a great game,1
 I wish I came up with it,1
 The best game on the Android platform by far,1
,1
"very useful to me, ive learned so many new words",1
 truly helps you build up you vocabulary,1
 sad that is kinda pricy but i guess that is what it takes,1
,1
,1
Doesn't seem to work with Lollipop,1
Pretty challenging honestly,1
 Great graphics,1
 Nice thought provoking concept,1
I love this game because I can make any nail polish without any problems but the problem is that when get 2 last figer s they buy full version for your game,1
NEW MODES Great game but,1
,1
,1
,1
,1
,1
 Classic Campaign as main mode isn't what I would pay five euro for,1
" It would be great if you added Highlight Reels, All Star  Weekend with Slam Dunk Contest and a NBA Full Season",1
 Great game BTW,1
,1
Best Game Love this game thank you Rockstar,1
 Just can't believe all the idiot 5 year Olds requesting their money back cause they finished the game,1
 ,1
 ,1
 WOW No wonder this world is heading to crap,1
To  Egghead It has come to my attention that you have two logic puzzle apps,1
 Do the two apps contain any of the same puzzles,1
Khaliah Sabrina Eichelberger Love it  it was fun  but you will only have7  games to play on it  but you would  need 200 coins to get another,1
Great Game even though I'm a '03 baby,1
 I got them all More please,1
Brilliant This taught my nearly 2 year old twinkle twinkle little star,1
,1
,1
a bloody rippa,1
 it was hard to find the time to rate this  because it's so hard to stop playing,1
  seriously,1
Cool game Great to kill boring,1
Samsung galaxy 4 I absolutely LOVE this app Have an amazing life  God bless,1
Nice It could be updated with more but it is excellent,1
,1
Must try  I love every bit of it,1
" The modes, the graphics",1
 Just try it and you will rate it 5 too,1
,1
,1
,1
"Refreshing mind Best to relax, kill time and to do some mild brain works  55 for the game, graphics and thousands of levels",1
,1
Love this game,1
We need the colors app Could you make an app with the colors version my daughter loves this app and the color section on you free app but I can't afford the 35 membership,1
 I will purchase the colors app as soon as it comes available,1
,1
,1
but coins are in euro so I cant understand how to play,1
,1
please give detailed instructions with example of 1 for that one,1
thanku,1
"Awesome I have played through multiple times,  love the time trials too",1
 Online tournaments would be fun,1
"  Game is smooth and stable,  only a couple tiny glitches that don't really affect playability",1
 Great game,1
Loved it Need to shorten the time for me to say today this is a very fun game on the hard one is hard and medium is medium easy is really easy ,1
,1
"Fantastic Everything you could want, works flawlessly",1
Basic Game with simple gaming  no complications My 4 Year son likes playing this game very much,1
,1
FABULOUS This app has really helped me improve my vocabulary skills and I've only had it for two weeks,1
 It's very helpful and I'd recommend it for anyone looking to do well on the ACTs,1
,1
I love this Best app ever because it works so well more than other apps,1
 I will keep this app forever I promise I will this app forever ,1
 I volunteer   minahil  sajjad should play this with me,1
Awesome Love it,1
Amazing Thia is an amazing app so much fun and so much to do i highly recommend it,1
I love I play it every day none stop,1
Grayson TULEY My beautiful baby boy who is 15 months loves it,1
Fantasy Football app Dope,1
,1
,1
ready 4 season,1
Awesome time pass I just keep sticking with this game as the name reveals it all STICK CRICKET,1
,1
,1
,1
I love to chase big targets,1
We love this,1
 Very nice app,1
,1
cool somehow this fixed the clock issue on my S6,1
Awesome Good graphics and lots of fun,1
,1
Love it,1
,1
,1
 Absolutely fabulous and useful app Very user friendly,1
,1
,1
not a waste at all,1
Why is it not being my avenge  up for example my avenge as been 144 then I bowl 223212190150170144189201,1
the avenge stead the same,1
Aweeeeeeeesome game Not so bad but when we play the game suddenly it will start from the beginning if this is not there this game is the best,1
In love At first its hard to find but you will get all the words in a min to 2 mins,1
Really Helpful for unknowns Let me salute to the developer for creating such a nice app,1
,1
,1
,1
It's a wonderful app to commute from Delhi metro rails,1
Great My 2 yr old daughter loves it and it is perfect for her homeschooling,1
 The app works perfectly on my android box and cell,1
" For those who tried to download it and it may not work, maybe try subscribing",1
" The app is free, not the programming",1
,1
Awesome It's a fun and addicting word association game,1
 I love the way it makes me think,1
,1
excellent application it moved tones of data and dex from applications that can only be installed in phone's internal memory to my sd card making it possible to download even more applications,1
,1
Good Education My baby brother is 5 and he isn't very or sha'll I say was because this app helped him Soooo me and I love Intellijoy apps thank you Soooo please make more educational apps,1
Love it,1
 I've seen a similar type program used in the show ghost adventurers and it measures changes in the atmosphere and interprets it into words,1
,1
Love this game,1
This game is fun for my little cousin ps,1
 I'm ten years old and it's fun for me,1
 Please add 18 images,1
Engaging their imaginations Great app,1
MLP JUST AMAZING,1
My god sis My god sis loves it,1
"Good realistic game App works well,  but it would be good to be able to play a full match in this version",1
"Addictive A great little game to fill in time, ie waiting for appointments etc",1
,1
"Great game,  although I think I enjoyed the simplicity of 10000000 a bit more",1
"  However, I highly recommend both games",1
 Perfect pick up and play type of game,1
Very good Good good good excellent app good work 9app,1
"More Layers This is by far,the best free app for sketching I found",1
"I give 5 stars,but one little thing I want And I'm sure others want tooAt least 5 layers",1
Is really hard to work with only 3 layers,1
,1
Plz make the whole song Its so fun but it would be better if  you could play the whole song,1
Good game Make it as a multiplayer game but plz don't remove single player option,1
,1
 Need work more on graphics,1
,1
but it's a very good game for spending times,1
 Thank u,1
Wurdle Rocks I looked everywhere for a good word game,1
Just Ok  So many items locked,1
"You'll love it All in all its worth your buck,it's a solid converter with everything you need plus some",1
i love the compass feature,1
love it  Played this on my old iPhone and it's just as good that,1
"Level 1 Too easy,I can win the stage",1
The best,1
 I bought the pro version to support the great work,1
 This is absolutely the best weather app,1
,1
Awesome Its awesome when you get bored you just do this and you can guess your favorite food,1
Feature request Could you add a way to save and review saved games,1
Hahah The first thing to be uploaded on my tablet,1
 The whole thing wants me to make an ironmanthemed device,1
,1
"I love this game,but",1
,1
" when I get to level or rank 16,when I press the button to put the whipped cream it freezes my whole phone and I have to shut it off",1
 Please fix this I want to play again,1
Wowwwww My sister try to steal my private photosssss hah,1
,1
I know Cuz I have the picture,1
 Does the trick,1
 Ps pep's this app will not show up in your app list unless you find it in settings,1
 Does what it says on to in though,1
My 2yrs old loves it,1
"Thank you Thank you for the update sega,I can see that you truly worked hard",1
 This fame is the most addictive and fun mobile game I've ever played,1
Great Its amazing but the only thing is when you play the mini games your time runs out way to quickly,1
awesome it is the coolest game ever ,1
I recommend you to download this,1
Great game,1
 Wasnt expecting much from a phone app,1
,1
,1
 im hooked now though,1
 Warning Highly addictive,1
"Great fun for long or short periods Quick and super responsive, clever mechanics and good graphics",1
"Fun game I really love this game, but it can use more levels",1
,1
Simple Usually play this when i have something to think through,1
  Basic easy  no time limit stress free play,1
,1
Anything you could possibly want My phone always matches my mood and zedge has the variety i need to make that happen and its FREE thats always a good thing,1
,1
Just like real console game Loved this game for my 360 and now love it on my phone and tablet,1
 Thanks EA,1
Cool game This a cool game,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
"Improving on the best Neutron was already amazing with the 4 band, now epandandable 10 band eq  You people rule",1
This is so cool You can shoot people and shoot in tanks and ride in tanks and cars Whoa,1
Cv attachment Why  cant you attach a CV when replying to jobs or how do you do itThx for fixing this issue guys,1
Graphical For such great graphics out don't take up a lot of room on your device,1
 Fun to watch,1
 There are similar games to this but not quite as appealing,1
"5 stars for the idea It's different, but that's what people like",1
" And to guy that mentioned the diamonds were useless, just remember that Mario couldn't spend his coins in MOST games anyway",1
,1
 no signing in or out,1
 ,1
,1
always up to mark,1
,1
,1
 ,1
,1
,1
can't think without whatsapp,1
,1
"Great app Great app, and it does NYTimes crosswords",1
" My only gripe is that it doesn't use my phone's native keyboard, but that is a minor issue at worst",1
" If you are a crossword addict, get it",1
 Only thing better is paper,1
,1
Excellent app Tried quite a few of the competitors and none come close,1
 This is a must have,1
Awesome The best game ever played in my life,1
 It is just superb and amazing,1
"had play it were using Saga, and now S860, still fantastic tho",1
